term,# studies,pAgF,pFgA,pA_given_pF=0.50,pFgA_given_pF=0.50,uniformity-test_z,association-test_z,uniformity-test_z_FDR_0.01,association-test_z_FDR_0.01
anxiety,449,0.016437185009851172,0.04464785006482112,0.01361689599687398,0.5316311527720092,2.321323894264748e-16,1.0147461289940984,0.37849469738835095,0.22121943665837115
autism,244,0.017181106118042827,0.02683554822953804,0.014023357922277305,0.5314920792238892,-2.756572124439388e-16,0.8800247251467972,0.15253608371269434,0.06738940889770409
approach,943,0.012516395221878845,0.07985729161128523,0.011690417517291916,0.5268234436581275,-7.254137169577337e-16,0.5145433751777739,0.5525372678289251,0.004808535028201407
conditioning,160,0.01726965288412455,0.020149876265569897,0.014085798014709326,0.525154212852415,4.969083961160477e-16,0.8306002688332704,0.09043007279370198,0.15726078513356415
social interactions,123,0.02458114933369854,0.01719390825877556,0.017718254942368273,0.5249569273782119,-1.2186950444889926e-15,1.2433412228219702,0.23269819588859586,0.5060228923098943
memories,256,0.01948837895610005,0.02857935349420398,0.015153386555147887,0.5199756168798808,-4.2073995583548556e-16,1.1147111740234703,0.3708367478136658,0.3285675482827048
major depressive,224,0.014997174214249252,0.024134537320576743,0.012953146076349285,0.5187165901475925,-4.642647788529496e-16,0.6467498706715676,0.04862398172147895,0.02727536327102425
dementia,142,0.014690234310405566,0.02050305534931461,0.01281298718216029,0.5180574688416967,-1.258592798921668e-15,0.717763443210286,0.0,0.2381186399010992
happy,225,0.016131813283421247,0.02475436388552898,0.01351129758298252,0.5172664206343495,-1.6684515490027878e-15,0.752962424975107,0.10463294340414564,0.06393108763796687
faces,864,0.012561326640576258,0.07164747995485328,0.01171627716058488,0.5162037217152201,-2.9016548678309353e-16,0.4974901783057436,0.4508437576770074,0.0012105444478578188
monetary,300,0.019126254891951674,0.032040864754589386,0.01496262933040654,0.5156656323420983,-3.1918203546140284e-16,1.120164557679968,0.5612297188078997,0.4003416235429768
pain,516,0.015719537337116313,0.04681948904151476,0.013257797439156577,0.5156215214699378,-2.9016548678309353e-16,0.8673808130251536,0.5002598924711515,0.032708404926569734
impulsive,78,0.021678381173021292,0.012073289747938,0.016296398477357168,0.5146996595314771,-1.7047222348506744e-15,0.9348591303355144,0.0,0.08485155533532496
retrieval,872,0.013320372685933193,0.07165078205304118,0.0120707831841067,0.5134318804223963,-5.80330973566187e-17,0.5808655840333027,0.5227013629355941,0.0606046614990688
drug,319,0.013636923707156584,0.03098529929359737,0.012274641750982626,0.5110479061003604,-8.704964603492805e-17,0.5514807879129721,0.04924197635442632,0.09800681863812273
feelings,149,0.01978820861211891,0.017439199543991417,0.01533434532054506,0.5101700433310475,-2.901654867830935e-17,0.911982845090203,0.04278981685809311,0.04266222309215
mood,238,0.016617979504205974,0.024674396192909308,0.013747876732122558,0.5077923279140341,-2.321323894264748e-16,0.7539927598220835,0.3053094179804387,0.06579675663362651
loss,396,0.012812530614980843,0.035742116281880364,0.011866619381755249,0.5028175476716202,-1.0445957524191369e-15,0.4280326609829342,0.2695823437953581,0.03323207494024633
goal directed,216,0.01684178435709829,0.022939965931469068,0.01386253234379468,0.5026772347207852,-1.8715673897509533e-15,0.7565345865473969,0.3706842125203048,0.09080837724635712
gambling,85,0.02306999369426178,0.012281429254413927,0.01698542765474751,0.4964313335938212,-2.386611128790944e-15,0.9924769931342547,0.03784167596269319,0.24514768152630825
recall,244,0.014029406103816769,0.023910437941450303,0.012474725824255769,0.4963070492367352,-6.818888939402697e-16,0.51284849619439,0.06788142215334526,0.022221523423204385
self referential,166,0.022034539382645442,0.01882729311755613,0.016439055152840325,0.4960323823136466,-2.495423186334604e-15,1.0431441198806677,0.6102293817898174,0.589012532412318
aversive,238,0.017048013692460142,0.02406793106655028,0.013959272934124668,0.4940214212993174,8.704964603492805e-16,0.7889876269391191,0.24424633114610994,0.062069690258675085
stress,321,0.014442488458890113,0.02882322998947605,0.012668027848802018,0.4896603409458479,-1.5959101773070142e-16,0.5340746265036682,0.3384809503650709,0.008164178093620111
